-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  -23.698   longitude 133.8807 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 685.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2025,1,1,8.88
2025,1,2,9.1704
2025,1,3,9.2381
2025,1,4,8.717
2025,1,5,8.1118
2025,1,6,8.2634
2025,1,7,7.9699
2025,1,8,7.0181
2025,1,9,5.7612
2025,1,10,7.6145
2025,1,11,7.8043
2025,1,12,5.489
2025,1,13,7.3478
2025,1,14,8.0616
2025,1,15,3.5866
2025,1,16,8.509
2025,1,17,9.1154
2025,1,18,9.2177
2025,1,19,9.3228
2025,1,20,7.5756
2025,1,21,9.0794
2025,1,22,7.7352
2025,1,23,7.8353
2025,1,24,7.8343
2025,1,25,8.7053
2025,1,26,8.819
2025,1,27,8.6158
2025,1,28,8.3702
2025,1,29,8.4974
2025,1,30,8.6573
2025,1,31,8.7271
2025,2,1,8.6424
2025,2,2,7.6927
2025,2,3,8.2752
2025,2,4,8.3818
2025,2,5,8.2524
2025,2,6,8.2368
2025,2,7,6.827
2025,2,8,7.7642
2025,2,9,7.6277
2025,2,10,7.9944
2025,2,11,7.7357
2025,2,12,7.1657
2025,2,13,3.9725
2025,2,14,3.7613
2025,2,15,3.7867
2025,2,16,7.6397
2025,2,17,7.835
2025,2,18,8.1643
2025,2,19,8.3131
2025,2,20,8.4259
2025,2,21,8.3628
2025,2,22,8.3875
2025,2,23,7.1911
2025,2,24,7.7508
2025,2,25,7.686
2025,2,26,7.5425
2025,2,27,7.1599
2025,2,28,7.3402
2025,3,1,7.9298
2025,3,2,7.5902
2025,3,3,7.8314
2025,3,4,7.8785
2025,3,5,8.0328
2025,3,6,7.7633
2025,3,7,7.6925
2025,3,8,6.4764
2025,3,9,6.875
2025,3,10,5.4286
2025,3,11,7.3409
2025,3,12,7.1371
2025,3,13,6.8011
2025,3,14,6.4363
2025,3,15,6.4354
2025,3,16,7.3872
2025,3,17,6.5774
2025,3,18,6.3211
2025,3,19,5.1986
2025,3,20,5.3354
2025,3,21,2.6059
2025,3,22,3.1342
2025,3,23,4.2238
2025,3,24,2.8675
2025,3,25,5.699
2025,3,26,3.287
2025,3,27,4.6802
2025,3,28,5.1346
2025,3,29,5.0268
2025,3,30,3.7855
2025,3,31,1.8413
2025,4,1,2.753
2025,4,2,3.7898
2025,4,3,6.4992
2025,4,4,6.8525
2025,4,5,6.7702
2025,4,6,6.4171
2025,4,7,6.4697
