-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  -33.8688   longitude 151.2093 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 31.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2025,1,1,8.4067
2025,1,2,3.0888
2025,1,3,6.3622
2025,1,4,8.7065
2025,1,5,8.3479
2025,1,6,8.1127
2025,1,7,1.8043
2025,1,8,1.787
2025,1,9,4.985
2025,1,10,5.131
2025,1,11,6.7927
2025,1,12,7.7117
2025,1,13,7.6721
2025,1,14,6.5136
2025,1,15,7.6805
2025,1,16,1.9183
2025,1,17,2.131
2025,1,18,5.01
2025,1,19,6.3113
2025,1,20,8.3959
2025,1,21,8.0854
2025,1,22,5.0078
2025,1,23,5.519
2025,1,24,6.4488
2025,1,25,8.1602
2025,1,26,7.0855
2025,1,27,7.56
2025,1,28,7.573
2025,1,29,3.2278
2025,1,30,2.8474
2025,1,31,3.3403
2025,2,1,5.755
2025,2,2,7.9702
2025,2,3,7.6469
2025,2,4,6.9574
2025,2,5,5.4223
2025,2,6,7.4165
2025,2,7,8.2219
2025,2,8,6.432
2025,2,9,5.9172
2025,2,10,3.0806
2025,2,11,3.8976
2025,2,12,6.3989
2025,2,13,7.0061
2025,2,14,3.9418
2025,2,15,6.7481
2025,2,16,7.9114
2025,2,17,7.8094
2025,2,18,7.3008
2025,2,19,6.8208
2025,2,20,2.3551
2025,2,21,3.5885
2025,2,22,6.0384
2025,2,23,7.3632
2025,2,24,6.9686
2025,2,25,1.6939
2025,2,26,6.2849
2025,2,27,6.7013
2025,2,28,6.2009
2025,3,1,6.6478
2025,3,2,6.0698
2025,3,3,3.617
2025,3,4,5.5368
2025,3,5,5.55
2025,3,6,4.794
2025,3,7,4.3145
2025,3,8,3.7961
2025,3,9,4.884
2025,3,10,2.7298
2025,3,11,2.3383
2025,3,12,4.0714
2025,3,13,6.499
2025,3,14,6.5189
2025,3,15,5.8843
2025,3,16,4.7059
2025,3,17,5.9479
2025,3,18,4.4098
2025,3,19,5.6976
2025,3,20,5.8985
2025,3,21,2.0642
2025,3,22,3.4039
2025,3,23,2.471
2025,3,24,3.0019
2025,3,25,3.0758
2025,3,26,4.5746
2025,3,27,3.8894
2025,3,28,3.1558
2025,3,29,1.1638
2025,3,30,3.7346
2025,3,31,3.3324
2025,4,1,3.2419
2025,4,2,3.8419
2025,4,3,5.5421
2025,4,4,5.1322
2025,4,5,5.6702
2025,4,6,5.1538
2025,4,7,5.5637
2025,4,8,2.8286
2025,4,9,3.6672
2025,4,10,3.5366
2025,4,11,5.0695
2025,4,12,4.4587
2025,4,13,4.2408
2025,4,14,4.8449
2025,4,15,3.6418
2025,4,16,2.8152
2025,4,17,3.5527
2025,4,18,4.7597
2025,4,19,4.5672
2025,4,20,4.7779
2025,4,21,3.8018
2025,4,22,2.34
2025,4,23,3.4966
2025,4,24,4.0282
2025,4,25,3.4932
2025,4,26,2.8704
2025,4,27,0.7126
2025,4,28,2.97
2025,4,29,3.587
2025,4,30,1.8864
2025,5,1,3.0053
2025,5,2,2.9707
2025,5,3,3.6247
2025,5,4,2.8061
2025,5,5,3.6749
2025,5,6,3.5686
2025,5,7,3.4013
2025,5,8,1.9486
2025,5,9,2.3717
2025,5,10,2.6299
2025,5,11,2.0117
2025,5,12,2.129
2025,5,13,2.7494
2025,5,14,3.2189
2025,5,15,1.1585
2025,5,16,1.6894
2025,5,17,3.431
2025,5,18,1.2521
2025,5,19,1.1201
2025,5,20,1.9836
2025,5,21,1.1405
2025,5,22,0.8323
2025,5,23,1.5406
2025,5,24,3.396
2025,5,25,2.2637
2025,5,26,1.735
2025,5,27,2.8044
2025,5,28,3.3766
2025,5,29,1.7398
2025,5,30,3.1217
2025,5,31,3.0672
2025,6,1,3.0449
2025,6,2,1.9459
2025,6,3,2.2423
2025,6,4,1.4335
2025,6,5,3.0456
2025,6,6,2.435
2025,6,7,3.0914
2025,6,8,3.193
2025,6,9,2.9294
2025,6,10,3.0372
2025,6,11,3.2035
2025,6,12,2.5553
2025,6,13,1.8322
2025,6,14,2.388
2025,6,15,2.7307
2025,6,16,3.1469
2025,6,17,2.8181
2025,6,18,3.1826
2025,6,19,2.8157
2025,6,20,3.107
2025,6,21,3.0907
2025,6,22,3.132
2025,6,23,3.0888
2025,6,24,1.8329
2025,6,25,3.0742
2025,6,26,2.797
2025,6,27,1.8194
2025,6,28,1.7189
2025,6,29,2.6383
2025,6,30,2.1228
2025,7,1,0.7433
2025,7,2,1.3375
2025,7,3,2.5039
2025,7,4,3.085
2025,7,5,2.7734
2025,7,6,2.8627
2025,7,7,2.507
2025,7,8,1.5454
2025,7,9,3.3058
2025,7,10,3.0475
2025,7,11,3.3706
2025,7,12,3.2981
2025,7,13,2.9424
2025,7,14,3.5306
2025,7,15,1.3666
2025,7,16,3.5616
2025,7,17,3.2314
2025,7,18,1.8574
2025,7,19,2.9707
2025,7,20,3.5119
2025,7,21,3.0206
2025,7,22,2.1974
2025,7,23,2.4742
2025,7,24,3.7637
2025,7,25,3.4596
2025,7,26,1.4575
2025,7,27,2.8457
2025,7,28,3.4219
2025,7,29,2.8486
2025,7,30,1.0351
2025,7,31,2.3791
2025,8,1,1.6147
2025,8,2,0.7699
2025,8,3,1.9075
2025,8,4,2.8522
2025,8,5,3.9029
2025,8,6,4.0572
2025,8,7,1.8391
2025,8,8,2.6474
2025,8,9,2.4922
2025,8,10,2.3256
2025,8,11,2.6143
2025,8,12,3.8266
2025,8,13,3.8837
2025,8,14,2.3194
2025,8,15,3.3463
2025,8,16,3.2412
2025,8,17,4.4947
2025,8,18,2.6666
2025,8,19,3.3434
2025,8,20,1.5744
2025,8,21,0.9216
2025,8,22,1.4393
2025,8,23,4.0644
2025,8,24,4.0567
2025,8,25,3.666
2025,8,26,4.7246
2025,8,27,2.0878
2025,8,28,5.1098
2025,8,29,4.7762
2025,8,30,4.795
2025,8,31,5.177
2025,9,1,4.9906
2025,9,2,4.1962
2025,9,3,5.3448
2025,9,4,3.522
2025,9,5,4.4198
2025,9,6,4.8799
2025,9,7,5.3618
2025,9,8,5.0213
2025,9,9,3.2786
2025,9,10,1.4551
2025,9,11,2.8795
2025,9,12,5.5704
2025,9,13,5.58
2025,9,14,5.8421
2025,9,15,5.9772
2025,9,16,4.1508
2025,9,17,5.4288
2025,9,18,6.0504
2025,9,19,5.7038
2025,9,20,6.1212
2025,9,21,6.2827
2025,9,22,5.7924
2025,9,23,6.1243
2025,9,24,6.2952
2025,9,25,6.1013
2025,9,26,5.2176
2025,9,27,4.1263
2025,9,28,5.4703
2025,9,29,5.4137
2025,9,30,6.3746
